case_id,contact_conductance_S,G_over_omega0CA,frequency_hz,frequency_over_f0,sigma_re_S_m,sigma_im_S_m,phase_deg,component_voltage_difference_V,contact_current_A,contact_dissipation_W,electrode_mismatch
G_0S,0.0,0.0,2.5464790894703246,0.07999999999999999,0.1971867399677713,0.0006368046899411112,0.18503320391645064,0.7701378366512138,0.0,0.0,2.16580761645245e-05
G_0S,0.0,0.0,3.642295726132819,0.11442609495420367,0.1972294307649881,0.0009068823675361648,0.263450367341796,0.7698533330552839,0.0,0.0,2.1884504570198343e-05
G_0S,0.0,0.0,5.209670957622051,0.1636666400808554,0.19731562001711697,0.0012857139623317646,0.37333557848939625,0.7692784761258465,0.0,0.0,2.2334121470355587e-05
G_0S,0.0,0.0,7.451528795962724,0.23409668123409294,0.19748728783716307,0.001806447864542577,0.5240790591749089,0.7681316250671187,0.0,0.0,2.3201684993522384e-05
G_0S,0.0,0.0,10.65811676951017,0.33483461344195337,0.19782016839125066,0.002493562101012264,0.7221863133363328,0.7659005302819343,0.0,0.0,2.479052854280415e-05
G_0S,0.0,0.0,15.244583518762019,0.47892271589578805,0.1984333864815035,0.0033288698975993546,0.9610898142695757,0.7617646868865908,0.0,0.0,2.745621200702372e-05
G_0S,0.0,0.0,21.804727015689387,0.6850157020602068,0.1994633143984025,0.004190513001471105,1.2035465994548642,0.7547383474569231,0.0,0.0,3.137491231969952e-05
G_0S,0.0,0.0,31.187872049347042,0.9797958971132713,0.20095167041647063,0.0048148719532168,1.3725641936926483,0.7443872135498495,0.0,0.0,3.6200178785577244e-05
G_0S,0.0,0.0,44.60883010672674,1.4014277294852795,0.20269534173158887,0.00491435042978231,1.3888646110391873,0.7319071721492617,0.0,0.0,4.1018435229468526e-05
G_0S,0.0,0.0,63.80517786985318,2.0044987805692083,0.20430127152393054,0.004437015803236256,1.244154374334369,0.7199807260400384,0.0,0.0,4.4900801533877336e-05
G_0S,0.0,0.0,91.26221676882095,2.8670870975124716,0.20548537848723944,0.003621695060650677,1.009737822809894,0.7108280030570397,0.0,0.0,4.749581628882968e-05
